Section,Beam Mark,Fck,Width_mm,Depth_mm,Moment_kNm,Req_BotBar_Area_mm2
1,2B10-S1-L,25,125,450,53.0,299.0
2,2B10-S1-M,25,125,450,77.0,496.0
3,2B10-S1-R,25,125,450,47.0,280.0
4,2B10-S2-L,25,125,450,48.0,268.0
5,2B10-S2-M,25,125,450,68.0,396.0
6,2B10-S2-R,25,125,450,41.0,226.0
7,2B10-S3-L,25,125,450,41.0,226.0
8,2B10-S3-M,25,125,450,62.0,383.0
9,2B10-S3-R,25,125,450,34.0,185.0
1,2B16-S1-L,25,125,450,42.0,232.0
2,2B16-S1-M,25,125,450,80.0,509.0
3,2B16-S1-R,25,125,450,74.0,437.0
4,2B16-S2-L,25,125,450,57.0,322.0
6,2B16-S2-R,25,125,450,57.0,322.0
7,2B16-S3-L,25,125,450,62.0,354.0
9,2B16-S3-R,25,125,450,62.0,354.0
10,2B16-S4-L,25,125,450,15.0,81.0
11,2B16-S4-M,25,125,450,18.0,97.0
12,2B16-S4-R,25,125,450,16.0,86.0
13,2B16-S5-L,25,125,450,61.0,347.0
15,2B16-S5-R,25,125,450,64.0,367.0
16,2B16-S6-L,25,125,450,37.0,200.0
19,2B16-S7-L,25,125,450,75.0,444.0
1,2B17-S1-L,25,125,450,49.0,294.0
2,2B17-S1-M,25,125,450,70.0,466.0
3,2B17-S1-R,25,125,450,44.0,262.0
4,2B17-S2-L,25,125,450,45.0,269.0
5,2B17-S2-M,25,125,450,68.0,420.0
6,2B17-S2-R,25,125,450,40.0,237.0
7,2B17-S3-L,25,125,450,40.0,237.0
8,2B17-S3-M,25,125,450,65.0,400.0
9,2B17-S3-R,25,125,450,37.0,219.0
10,2B17-S4-L,25,125,450,37.0,219.0
11,2B17-S4-M,25,125,450,55.0,333.0
12,2B17-S4-R,25,125,450,37.0,219.0
13,2B17-S5-L,25,125,450,37.0,219.0
14,2B17-S5-M,25,125,450,66.0,407.0
15,2B17-S5-R,25,125,450,36.0,213.0
16,2B17-S6-L,25,125,450,34.0,201.0
17,2B17-S6-M,25,125,450,45.0,269.0
18,2B17-S6-R,25,125,450,33.0,195.0
19,2B17-S7-L,25,125,450,32.0,189.0
20,2B17-S7-M,25,125,450,61.0,373.0
21,2B17-S7-R,25,125,450,35.0,207.0
22,2B17-S8-L,25,125,450,12.0,99.0
23,2B17-S8-R,25,125,450,12.0,99.0
1,2B18-S1-L,25,125,450,38.0,208.0
2,2B18-S1-M,25,125,450,41.0,241.0
3,2B18-S1-R,25,125,450,31.0,168.0
4,2B18-S2-L,25,125,450,32.0,173.0
5,2B18-S2-M,25,125,450,64.0,369.0
6,2B18-S2-R,25,125,450,38.0,208.0
7,2B18-S3-L,25,125,450,38.0,208.0
8,2B18-S3-M,25,125,450,64.0,369.0
9,2B18-S3-R,25,125,450,39.0,214.0
10,2B18-S4-L,25,125,450,39.0,214.0
11,2B18-S4-M,25,125,450,64.0,369.0
12,2B18-S4-R,25,125,450,40.0,220.0
13,2B18-S5-L,25,125,450,40.0,220.0
14,2B18-S5-M,25,125,450,64.0,369.0
15,2B18-S5-R,25,125,450,36.0,196.0
16,2B18-S6-L,25,125,450,28.0,151.0
17,2B18-S6-M,25,125,450,30.0,162.0
18,2B18-S6-R,25,125,450,31.0,168.0
19,2B18-S7-L,25,125,450,64.0,369.0
20,2B18-S7-M,25,125,450,64.0,369.0
21,2B18-S7-R,25,125,450,36.0,196.0
22,2B18-S8-L,25,125,450,26.0,139.0
23,2B18-S8-R,25,125,450,12.0,79.0
1,2B1-S1-L,25,125,600,66.0,263.0
2,2B1-S1-M,25,125,600,83.0,337.0
3,2B1-S1-R,25,125,600,40.0,158.0
4,2B1-S2-L,25,125,600,20.0,104.0
